,ema_12_dist,ema_25_dist,ema_50_dist,ema_200_dist,ema_12_slope,ema_50_slope,ema_200_slope,ema_compression,rsi_7,rsi_14,rsi_21,rsi_7_slope,rsi_14_slope,rsi_14_accel,di_plus,di_minus,di_spread,adx,adx_slope,adx_accel
ema_12_dist,1.0,0.9363,0.7902,0.4626,0.9143,0.6849,0.3947,-0.0416,0.7473,0.7134,0.6622,0.3414,0.4322,0.1163,0.6109,-0.6176,0.6622,-0.029,-0.0488,-0.0274
ema_25_dist,0.9363,1.0,0.9428,0.6291,0.9281,0.8864,0.5827,-0.0787,0.7093,0.7671,0.7592,0.1762,0.252,0.0379,0.6821,-0.6896,0.7394,-0.0439,-0.0398,-0.0141
ema_50_dist,0.7902,0.9428,1.0,0.8005,0.8143,0.9776,0.7715,-0.1223,0.6024,0.7287,0.7727,0.0799,0.1271,0.0111,0.665,-0.6741,0.7218,-0.0495,-0.025,-0.0067
ema_200_dist,0.4626,0.6291,0.8005,1.0,0.4907,0.806,0.9941,-0.1798,0.3534,0.4912,0.58,0.0128,0.0227,0.0012,0.4632,-0.4755,0.506,-0.0361,-0.0067,-0.0021
ema_12_slope,0.9143,0.9281,0.8143,0.4907,1.0,0.7908,0.4622,-0.0495,0.6941,0.7082,0.6726,0.1328,0.2372,-0.0636,0.6407,-0.6446,0.6928,-0.0357,-0.0543,-0.0233
ema_50_slope,0.6849,0.8864,0.9776,0.806,0.7908,1.0,0.7996,-0.1244,0.5298,0.6879,0.7471,-0.0422,0.0028,-0.077,0.6466,-0.654,0.7011,-0.0505,-0.0224,-0.0021
ema_200_slope,0.3947,0.5827,0.7715,0.9941,0.4622,0.7996,1.0,-0.1727,0.3061,0.458,0.5545,-0.0488,-0.0413,-0.0419,0.4424,-0.4536,0.483,-0.0344,-0.005,0.0002
ema_compression,-0.0416,-0.0787,-0.1223,-0.1798,-0.0495,-0.1244,-0.1727,1.0,0.0053,0.0046,0.0027,0.0001,0.0006,0.0001,0.0159,0.0311,-0.0082,0.3077,-0.0329,-0.0445
rsi_7,0.7473,0.7093,0.6024,0.3534,0.6941,0.5298,0.3061,0.0053,1.0,0.935,0.8509,0.4343,0.54,0.1352,0.778,-0.7728,0.836,0.0026,-0.0031,-0.0092
rsi_14,0.7134,0.7671,0.7287,0.4912,0.7082,0.6879,0.458,0.0046,0.935,1.0,0.9778,0.2306,0.3261,0.0504,0.8688,-0.8663,0.9353,0.0041,-0.0043,-0.009
rsi_21,0.6622,0.7592,0.7727,0.58,0.6726,0.7471,0.5545,0.0027,0.8509,0.9778,1.0,0.1487,0.2246,0.0267,0.8673,-0.8673,0.935,0.0045,-0.0057,-0.0081
rsi_7_slope,0.3414,0.1762,0.0799,0.0128,0.1328,-0.0422,-0.0488,0.0001,0.4343,0.2306,0.1487,1.0,0.9753,0.8086,0.1228,-0.124,0.1331,0.0014,0.001,-0.0094
rsi_14_slope,0.4322,0.252,0.1271,0.0227,0.2372,0.0028,-0.0413,0.0006,0.54,0.3261,0.2246,0.9753,1.0,0.7468,0.2091,-0.2093,0.2255,0.0015,-0.0014,-0.0153
rsi_14_accel,0.1163,0.0379,0.0111,0.0012,-0.0636,-0.077,-0.0419,0.0001,0.1352,0.0504,0.0267,0.8086,0.7468,1.0,-0.0063,0.003,-0.005,0.0024,0.0073,-0.0022
di_plus,0.6109,0.6821,0.665,0.4632,0.6407,0.6466,0.4424,0.0159,0.778,0.8688,0.8673,0.1228,0.2091,-0.0063,1.0,-0.7208,0.9273,0.043,0.0352,0.007
di_minus,-0.6176,-0.6896,-0.6741,-0.4755,-0.6446,-0.654,-0.4536,0.0311,-0.7728,-0.8663,-0.8673,-0.124,-0.2093,0.003,-0.7208,1.0,-0.9279,0.0411,0.04,0.0191
di_spread,0.6622,0.7394,0.7218,0.506,0.6928,0.7011,0.483,-0.0082,0.836,0.9353,0.935,0.1331,0.2255,-0.005,0.9273,-0.9279,1.0,0.0009,-0.0027,-0.0065
adx,-0.029,-0.0439,-0.0495,-0.0361,-0.0357,-0.0505,-0.0344,0.3077,0.0026,0.0041,0.0045,0.0014,0.0015,0.0024,0.043,0.0411,0.0009,1.0,0.1458,-0.1937
adx_slope,-0.0488,-0.0398,-0.025,-0.0067,-0.0543,-0.0224,-0.005,-0.0329,-0.0031,-0.0043,-0.0057,0.001,-0.0014,0.0073,0.0352,0.04,-0.0027,0.1458,1.0,0.4491
adx_accel,-0.0274,-0.0141,-0.0067,-0.0021,-0.0233,-0.0021,0.0002,-0.0445,-0.0092,-0.009,-0.0081,-0.0094,-0.0153,-0.0022,0.007,0.0191,-0.0065,-0.1937,0.4491,1.0
