indicator,family,ic0,ic_lag5,ic_lag20,mi0,halflife_bars
ema_12_dist,EMA,0.02239,0.01495,0.00356,0.057094,7.2
ema_25_dist,EMA,0.02362,0.01584,0.00455,0.058964,7.5
ema_50_dist,EMA,0.02162,0.01517,0.00626,0.066181,8.4
ema_200_dist,EMA,0.01569,0.01115,0.00583,0.058642,11.6
ema_12_slope,EMA,0.02137,0.01555,0.00324,0.05535,7.7
ema_50_slope,EMA,0.02005,0.0141,0.00584,0.059753,8.7
ema_200_slope,EMA,0.01427,0.01061,0.00558,0.061906,13.6
ema_compression,EMA,0.00936,0.0082,0.00781,0.070393,41.0
rsi_7,RSI,0.0207,0.01306,0.00276,0.003711,7.1
rsi_14,RSI,0.02116,0.01433,0.00427,0.00542,8.0
rsi_21,RSI,0.02064,0.01452,0.00547,0.005725,8.8
rsi_7_slope,RSI,0.00861,0.00382,0.00036,0.000747,1.4
rsi_14_slope,RSI,0.01015,0.0048,0.00046,0.0,1.6
rsi_14_accel,RSI,0.00404,0.00124,0.00091,0.0,0.7
di_plus,DMI,0.01832,0.01326,0.00564,0.00206,9.5
di_minus,DMI,0.01778,0.0125,0.00561,0.011177,9.8
di_spread,DMI,0.01927,0.01392,0.00583,0.011369,9.5
adx,ADX,0.00383,0.00035,0.00113,0.002135,2.0
adx_slope,ADX,0.00847,0.00409,0.00354,0.003906,4.8
adx_accel,ADX,0.00344,0.0047,0.00455,0.002036,9.4
