indicator,family,mean_ic,std_ic,sign_agreement
ema_12_dist,EMA,-0.02121,0.00758,1.0
ema_25_dist,EMA,-0.02247,0.00793,1.0
ema_50_dist,EMA,-0.02067,0.00719,1.0
ema_200_dist,EMA,-0.01468,0.00734,1.0
ema_12_slope,EMA,-0.02028,0.0076,1.0
ema_50_slope,EMA,-0.019,0.00668,1.0
ema_200_slope,EMA,-0.01321,0.00707,1.0
ema_compression,EMA,0.00831,0.00747,0.833
rsi_7,RSI,-0.02013,0.00629,1.0
rsi_14,RSI,-0.02061,0.0072,1.0
rsi_21,RSI,-0.02011,0.00739,1.0
rsi_7_slope,RSI,-0.00866,0.00177,1.0
rsi_14_slope,RSI,-0.01015,0.00181,1.0
rsi_14_accel,RSI,-0.00429,0.00341,0.833
di_plus,DMI,-0.01768,0.00889,1.0
di_minus,DMI,0.01702,0.0079,1.0
di_spread,DMI,-0.01856,0.0087,1.0
adx,ADX,0.00324,0.009,0.667
adx_slope,ADX,0.00828,0.00541,1.0
adx_accel,ADX,0.00356,0.00371,0.833
