indicator,family,peak_lag_bars,peak_corr,contemp_corr
ema_12_dist,EMA,0,0.7614,0.7614
ema_25_dist,EMA,0,0.7762,0.7762
ema_50_dist,EMA,0,0.7831,0.7831
ema_200_dist,EMA,0,0.7876,0.7876
ema_12_slope,EMA,0,0.4695,0.4695
ema_50_slope,EMA,0,0.4556,0.4556
ema_200_slope,EMA,0,0.4525,0.4525
ema_compression,EMA,0,-0.0105,-0.0105
rsi_7,RSI,0,0.9232,0.9232
rsi_14,RSI,0,0.9617,0.9617
rsi_21,RSI,0,0.9733,0.9733
rsi_7_slope,RSI,3,-0.7007,0.637
rsi_14_slope,RSI,3,-0.7118,0.6694
rsi_14_accel,RSI,3,-0.7964,0.3861
di_plus,DMI,0,0.6691,0.6691
di_minus,DMI,0,-0.6706,-0.6706
di_spread,DMI,0,0.7596,0.7596
adx,ADX,1,-0.0134,-0.0064
adx_slope,ADX,1,-0.0179,-0.0104
adx_accel,ADX,4,0.0177,-0.0083
