tag,EMA_ALIGNMENT_TOLERANCE_PIPS,E1_RR,SL_EMA_DISTANCE,MIN_ENTRY_ATR_PERCENTILE,SIDEWAYS_BLOCK_THRESHOLD,trades,win,net,pf,maxdd,e1,e2,e4,perq
r036,35.0,4.5,55,70,45,172,47.7,1654.47,1.305,621.89,151,9,12,2024Q1:55;2024Q2:317;2024Q3:57;2024Q4:353;2025Q1:-71;2025Q2:834;2025Q3:109
r009,35.0,3.2,55,70,45,172,47.7,1521.37,1.278,683.76,151,9,12,2024Q1:174;2024Q2:436;2024Q3:56;2024Q4:348;2025Q1:-162;2025Q2:759;2025Q3:-90
r027,35.0,4.0,55,70,45,172,47.7,1420.67,1.264,630.62,151,9,12,2024Q1:55;2024Q2:300;2024Q3:57;2024Q4:346;2025Q1:-111;2025Q2:765;2025Q3:9
r018,35.0,3.6,55,70,45,172,47.7,1423.06,1.264,643.48,151,9,12,2024Q1:136;2024Q2:286;2024Q3:57;2024Q4:353;2025Q1:-124;2025Q2:779;2025Q3:-64
r011,35.0,3.2,55,70,32,148,45.9,1150.55,1.233,834.85,131,7,10,2024Q1:112;2024Q2:732;2024Q3:-19;2024Q4:507;2025Q1:-194;2025Q2:276;2025Q3:-263
r002,35.0,2.8,55,70,32,148,45.9,1116.54,1.227,782.67,131,7,10,2024Q1:139;2024Q2:621;2024Q3:-24;2024Q4:569;2025Q1:-277;2025Q2:328;2025Q3:-238
r000,35.0,2.8,55,70,45,172,47.7,1149.67,1.214,739.02,151,9,12,2024Q1:116;2024Q2:351;2024Q3:55;2024Q4:429;2025Q1:-278;2025Q2:635;2025Q3:-158
r038,35.0,4.5,55,70,32,148,45.9,1062.71,1.219,896.67,131,7,10,2024Q1:38;2024Q2:590;2024Q3:-22;2024Q4:457;2025Q1:-36;2025Q2:197;2025Q3:-161
r020,35.0,3.6,55,70,32,148,45.9,931.82,1.192,897.13,131,7,10,2024Q1:116;2024Q2:568;2024Q3:-19;2024Q4:450;2025Q1:-145;2025Q2:228;2025Q3:-267
r029,35.0,4.0,55,70,32,148,45.9,892.26,1.184,897.13,131,7,10,2024Q1:38;2024Q2:573;2024Q3:-22;2024Q4:465;2025Q1:-97;2025Q2:164;2025Q3:-229
r037,35.0,4.5,55,70,38,171,43.9,924.35,1.164,787.52,150,9,12,2024Q1:70;2024Q2:243;2024Q3:-179;2024Q4:401;2025Q1:-278;2025Q2:502;2025Q3:167
r028,35.0,4.0,55,70,38,171,43.9,873.23,1.155,787.52,150,9,12,2024Q1:70;2024Q2:226;2024Q3:-179;2024Q4:401;2025Q1:-318;2025Q2:619;2025Q3:55
r010,35.0,3.2,55,70,38,171,43.9,864.09,1.152,805.53,150,9,12,2024Q1:189;2024Q2:370;2024Q3:-186;2024Q4:380;2025Q1:-389;2025Q2:563;2025Q3:-63
r019,35.0,3.6,55,70,38,171,43.9,774.5,1.138,786.96,150,9,12,2024Q1:150;2024Q2:212;2024Q3:-179;2024Q4:401;2025Q1:-344;2025Q2:545;2025Q3:-9
r001,35.0,2.8,55,70,38,171,43.9,649.89,1.116,790.73,150,9,12,2024Q1:131;2024Q2:277;2024Q3:-179;2024Q4:481;2025Q1:-439;2025Q2:483;2025Q3:-103
r006,35.0,2.8,55,88,45,0,0.0,0.0,0.0,0.0,0,0,0,
r007,35.0,2.8,55,88,38,0,0.0,0.0,0.0,0.0,0,0,0,
r008,35.0,2.8,55,88,32,0,0.0,0.0,0.0,0.0,0,0,0,
r015,35.0,3.2,55,88,45,0,0.0,0.0,0.0,0.0,0,0,0,
r016,35.0,3.2,55,88,38,0,0.0,0.0,0.0,0.0,0,0,0,
r017,35.0,3.2,55,88,32,0,0.0,0.0,0.0,0.0,0,0,0,
r024,35.0,3.6,55,88,45,0,0.0,0.0,0.0,0.0,0,0,0,
r025,35.0,3.6,55,88,38,0,0.0,0.0,0.0,0.0,0,0,0,
r026,35.0,3.6,55,88,32,0,0.0,0.0,0.0,0.0,0,0,0,
r033,35.0,4.0,55,88,45,0,0.0,0.0,0.0,0.0,0,0,0,
r034,35.0,4.0,55,88,38,0,0.0,0.0,0.0,0.0,0,0,0,
r035,35.0,4.0,55,88,32,0,0.0,0.0,0.0,0.0,0,0,0,
r042,35.0,4.5,55,88,45,0,0.0,0.0,0.0,0.0,0,0,0,
r043,35.0,4.5,55,88,38,0,0.0,0.0,0.0,0.0,0,0,0,
r044,35.0,4.5,55,88,32,0,0.0,0.0,0.0,0.0,0,0,0,
r040,35.0,4.5,55,80,38,101,43.6,785.92,1.246,419.29,88,6,7,2024Q1:-128;2024Q2:365;2024Q3:-282;2024Q4:200;2025Q1:188;2025Q2:588;2025Q3:-146
r031,35.0,4.0,55,80,38,101,43.6,786.11,1.247,437.68,88,6,7,2024Q1:-128;2024Q2:342;2024Q3:-282;2024Q4:200;2025Q1:141;2025Q2:694;2025Q3:-181
r013,35.0,3.2,55,80,38,101,43.6,643.65,1.202,442.98,88,6,7,2024Q1:-128;2024Q2:416;2024Q3:-282;2024Q4:206;2025Q1:78;2025Q2:541;2025Q3:-186
r012,35.0,3.2,55,80,45,100,46.0,628.34,1.206,443.15,87,6,7,2024Q1:-226;2024Q2:490;2024Q3:-108;2024Q4:275;2025Q1:29;2025Q2:356;2025Q3:-187
r023,35.0,3.6,55,80,32,79,45.6,315.14,1.132,452.68,69,4,6,2024Q1:-173;2024Q2:752;2024Q3:-237;2024Q4:91;2025Q1:239;2025Q2:71;2025Q3:-427
r032,35.0,4.0,55,80,32,79,45.6,397.99,1.165,452.68,69,4,6,2024Q1:-173;2024Q2:771;2024Q3:-237;2024Q4:107;2025Q1:268;2025Q2:101;2025Q3:-439
r041,35.0,4.5,55,80,32,79,45.6,487.28,1.201,452.68,69,4,6,2024Q1:-173;2024Q2:795;2024Q3:-237;2024Q4:99;2025Q1:308;2025Q2:139;2025Q3:-443
r039,35.0,4.5,55,80,45,100,46.0,879.24,1.287,453.3,87,6,7,2024Q1:-226;2024Q2:442;2024Q3:-108;2024Q4:275;2025Q1:132;2025Q2:561;2025Q3:-197
r030,35.0,4.0,55,80,45,100,46.0,736.52,1.241,462.85,87,6,7,2024Q1:-226;2024Q2:418;2024Q3:-108;2024Q4:275;2025Q1:93;2025Q2:491;2025Q3:-206
r014,35.0,3.2,55,80,32,79,45.6,446.88,1.184,470.11,69,4,6,2024Q1:-173;2024Q2:861;2024Q3:-241;2024Q4:138;2025Q1:199;2025Q2:41;2025Q3:-378
r022,35.0,3.6,55,80,38,101,43.6,616.04,1.194,472.27,88,6,7,2024Q1:-128;2024Q2:323;2024Q3:-282;2024Q4:200;2025Q1:110;2025Q2:610;2025Q3:-216
r004,35.0,2.8,55,80,38,101,43.6,339.46,1.108,473.49,88,6,7,2024Q1:-128;2024Q2:342;2024Q3:-282;2024Q4:200;2025Q1:16;2025Q2:413;2025Q3:-222
r021,35.0,3.6,55,80,45,100,46.0,669.23,1.219,485.61,87,6,7,2024Q1:-226;2024Q2:399;2024Q3:-108;2024Q4:275;2025Q1:61;2025Q2:498;2025Q3:-229
r005,35.0,2.8,55,80,32,79,45.6,304.23,1.127,495.73,69,4,6,2024Q1:-173;2024Q2:767;2024Q3:-237;2024Q4:116;2025Q1:172;2025Q2:10;2025Q3:-351
r003,35.0,2.8,55,80,45,100,46.0,382.69,1.126,514.82,87,6,7,2024Q1:-226;2024Q2:419;2024Q3:-108;2024Q4:275;2025Q1:-3;2025Q2:284;2025Q3:-258
