rr,win,n,winp,net,pf,dd,exits,perq
3.2,train,172,47.7,1521.37,1.278,683.76,EA:89;SL-LOSS:41;SL-WIN:23;TP:19,2024Q1:174;2024Q2:436;2024Q3:56;2024Q4:348;2025Q1:-162;2025Q2:759;2025Q3:-90
3.2,oos,50,46.0,-217.09,0.884,930.27,EA:26;SL-LOSS:10;SL-WIN:11;TP:3,2025Q4:-2;2026Q1:-139;2026Q2:-76
3.2,full,222,47.3,1350.07,1.179,1113.8,EA:115;SL-LOSS:51;SL-WIN:34;TP:22,2024Q1:174;2024Q2:436;2024Q3:56;2024Q4:348;2025Q1:-162;2025Q2:759;2025Q3:-90;2025Q4:20;2026Q1:-125;2026Q2:-67
4.0,train,172,47.7,1420.67,1.264,630.62,EA:96;SL-LOSS:41;SL-WIN:22;TP:13,2024Q1:55;2024Q2:300;2024Q3:57;2024Q4:346;2025Q1:-111;2025Q2:765;2025Q3:9
4.0,oos,50,46.0,-300.15,0.839,1155.31,EA:28;SL-LOSS:10;SL-WIN:10;TP:2,2025Q4:123;2026Q1:-412;2026Q2:-12
4.0,full,222,47.3,1146.28,1.154,1272.6,EA:124;SL-LOSS:51;SL-WIN:32;TP:15,2024Q1:55;2024Q2:300;2024Q3:57;2024Q4:346;2025Q1:-111;2025Q2:765;2025Q3:9;2025Q4:158;2026Q1:-442;2026Q2:9
4.5,train,172,47.7,1654.47,1.305,621.89,EA:96;SL-LOSS:41;SL-WIN:22;TP:13,2024Q1:55;2024Q2:317;2024Q3:57;2024Q4:353;2025Q1:-71;2025Q2:834;2025Q3:109
4.5,oos,50,46.0,-342.94,0.816,1239.95,EA:28;SL-LOSS:10;SL-WIN:10;TP:2,2025Q4:141;2026Q1:-496;2026Q2:12
4.5,full,222,47.3,1334.03,1.178,1370.62,EA:124;SL-LOSS:51;SL-WIN:32;TP:15,2024Q1:55;2024Q2:317;2024Q3:57;2024Q4:353;2025Q1:-71;2025Q2:834;2025Q3:109;2025Q4:184;2026Q1:-534;2026Q2:30
5.0,train,172,47.7,1735.42,1.321,626.83,EA:97;SL-LOSS:41;SL-WIN:22;TP:12,2024Q1:55;2024Q2:211;2024Q3:57;2024Q4:349;2025Q1:-17;2025Q2:926;2025Q3:154
5.0,oos,50,46.0,-297.69,0.841,1239.95,EA:30;SL-LOSS:10;SL-WIN:9;TP:1,2025Q4:187;2026Q1:-496;2026Q2:12
5.0,full,222,47.3,1474.28,1.196,1381.79,EA:127;SL-LOSS:51;SL-WIN:31;TP:13,2024Q1:55;2024Q2:211;2024Q3:57;2024Q4:349;2025Q1:-17;2025Q2:926;2025Q3:154;2025Q4:243;2026Q1:-534;2026Q2:30
5.5,train,172,47.7,1938.79,1.357,635.82,EA:99;SL-LOSS:41;SL-WIN:22;TP:10,2024Q1:55;2024Q2:244;2024Q3:57;2024Q4:349;2025Q1:-21;2025Q2:1073;2025Q3:181
5.5,oos,50,46.0,-350.23,0.813,1239.95,EA:31;SL-LOSS:10;SL-WIN:8;TP:1,2025Q4:134;2026Q1:-496;2026Q2:12
5.5,full,222,47.3,1646.34,1.218,1390.7,EA:130;SL-LOSS:51;SL-WIN:30;TP:11,2024Q1:55;2024Q2:244;2024Q3:57;2024Q4:349;2025Q1:-21;2025Q2:1073;2025Q3:181;2025Q4:190;2026Q1:-534;2026Q2:52
6.0,train,172,47.7,1872.91,1.345,635.82,EA:101;SL-LOSS:41;SL-WIN:22;TP:8,2024Q1:55;2024Q2:312;2024Q3:57;2024Q4:346;2025Q1:-25;2025Q2:927;2025Q3:202
6.0,oos,50,46.0,-317.74,0.831,1239.95,EA:31;SL-LOSS:10;SL-WIN:8;TP:1,2025Q4:166;2026Q1:-496;2026Q2:12
6.0,full,222,47.3,1630.09,1.216,1390.7,EA:132;SL-LOSS:51;SL-WIN:30;TP:9,2024Q1:55;2024Q2:312;2024Q3:57;2024Q4:346;2025Q1:-25;2025Q2:927;2025Q3:202;2025Q4:239;2026Q1:-534;2026Q2:52
